term,no_context,basic_context,no_context_percentile,basic_context_percentile
abelian,,,,
abelian extension,0.9373433349004952,0.9634093371067143,47.34375,62.03125000000001
abelian group,0.9359920446337309,0.9743855541935116,45.78125,90.9375
abelian Lie algebra,0.949049347002733,0.9617724470844177,69.0625,54.53125
abelianization,,,,
absolute continuity,0.9374492405626969,0.9620167352561783,47.5,55.93749999999999
absolute continuity of measure,0.9565138630520806,0.9657506222463992,80.46875,70.9375
absolute convergence,0.9297124041222926,0.9617613051666404,34.6875,54.37499999999999
absolute value,0.9302031050949315,0.9671594144276919,35.46875,75.625
absolute values,0.9118205338542344,0.964028288162116,15.312500000000002,64.375
absolutely continuous,0.9222887271451694,0.958627309835119,25.937500000000004,39.53125
acting,,,,
action,,,,
action of a group,0.9437697374259848,0.9570490625130572,60.78125,33.90625
acts,,,,
adjoint,,,,
adjoint map,0.9375390682193058,0.9506950484877884,47.96875,16.25
adjoint of a linear transformation,0.960825723812778,0.9675291237475308,85.0,76.71875
adjoint representation,0.9320315784053765,0.9613804596393767,38.90625,52.1875
adjoint representation of a Lie algebra,0.9708412204169654,0.9748359003206364,92.96875,91.71875
adjoint representation of a Lie group,0.9741742777986602,0.9770952478139313,95.625,94.53125
adjugate,,,,
affine transformations,0.954451377234443,0.9605273718629976,78.28125,47.34375
Alexandroff space,0.9463679717683833,0.9607812734839256,65.625,48.4375
algebra,,,,
algebra homomorphism,0.9489687021218114,0.9633040193903705,68.75,61.71875
algebra ideal,0.9128983419695827,0.9458235246196949,16.25,8.28125
algebra of polynomials,0.938211066639226,0.9659059363542182,48.75,71.40625
algebra of subsets,0.9485711479406911,0.9679578491248976,68.4375,77.8125
algebra over a field,0.9441552616910374,0.9629338951630091,61.40624999999999,59.68750000000001
algebraic,,,,
algebraic extension,0.9383904759352861,0.960716051465392,49.21875,48.125
algebraic integer,0.939972742564026,0.9493312226480896,51.87500000000001,13.125
algebraic integers,0.94551764939242,0.9448816655281109,64.0625,6.71875
algebraic number,0.9215816864925136,0.9544720853156875,24.84375,25.46875
algebraically closed,0.9219458901228597,0.9439500022530973,25.156250000000004,5.15625
algebras,,,,
almost everywhere,0.9429096371036119,0.9759907431961122,58.59375,92.65625
almost uniform convergence,0.9519863083090394,0.9621506068954563,75.15625,56.56250000000001
alternating group,0.9243318119175443,0.9630812898846213,27.8125,60.15625
analytic function,0.9315069574113488,0.9672515872486068,37.1875,75.9375
annihilator of a submodule,0.9456807744376474,0.9668574000955263,64.53125,74.53125
annulus,,,,
antisymmetric,,,,
antisymmetry,,,,
argument,,,,
ascending central series,0.9510947964403551,0.9565331163644715,73.28125,32.5
associate,,,,
associate elements in an integral domain,0.9637233742831449,0.9729704931521068,88.59375,88.59375
associated,,,,
association,,,,
associative,,,,
associative algebra,0.9223364955709212,0.952075865322373,26.09375,18.90625
atlas,,,,
automorphism,,,,
automorphism group,0.9314617445719436,0.9671056934268525,37.03125,75.46875
automorphisms,,,,
Axiom of Choice,0.9417478557407488,0.962059383345253,56.09375,56.40625
Baire class,0.9277604283298465,0.9568482836731225,32.34375,33.4375
Baire property,0.9518150031813257,0.9437542832391992,74.6875,4.6875
Baire space,0.9274241078129283,0.9535783400076625,31.5625,22.1875
Banach algebra,0.9428113192965528,0.9692212850070137,58.28124999999999,80.78125
Banach space,0.937203101503876,0.9634268501030703,47.1875,62.18749999999999
Banach-Mazur game,0.953388064899388,0.9601078526368382,77.1875,44.84375
barycenter,,,,
barycentric coordinates,0.9424968185213272,0.9601198241453942,57.65625,45.0
based topological space,0.9675329886101041,0.9793097049741069,91.25,96.25
based topological spaces,0.9722762158005208,0.9799438883407433,94.0625,96.5625
basis,,,,
basis for abelian group,0.9757801775496949,0.9787413077791937,96.25,95.9375
bijection,,,,
bijections,,,,
bijective,,,,
bilinear,,,,
binary operation,0.9261611409232049,0.9565905624387874,29.6875,32.96875
binary operations,0.9191309288956393,0.9558204396512481,22.1875,29.21875
binary relation,0.9229779973686838,0.9574097067431475,26.718750000000004,35.15625
Borel,,,,
Borel function,0.9258268731779719,0.960821156457334,29.21875,48.90625
Borel space,0.9221242878936909,0.9632640625170389,25.78125,61.09375
Borel spaces,0.9365757024174692,0.9628471232337641,46.25,59.53125
Borel σ-algebra,0.966120346422271,0.9608978348964097,90.78125,49.53125
boundary,,,,
boundary of the closed half-space,0.9709732103206887,0.9706591474016216,93.125,83.59375
boundary points of a manifold,0.9629622010927801,0.9580952239391826,87.5,37.8125
bounded,,,,
bounded measure space,0.9597072423102926,0.9703855661661606,83.75,83.125
bounded variation,0.9359150005728902,0.955684727756723,45.625,28.749999999999996
Cantor set,0.9352034906880354,0.9584160662258863,44.375,38.75
cardinal number,0.91357386141131,0.9620108510143767,16.875,55.78125000000001
cardinal numbers,0.9190741523889172,0.957147549368627,22.03125,34.21875
Cartesian product,0.9345887444735812,0.9647259715204229,43.28125,67.34375
categories,,,,
category,,,,
category of sets,0.9406660198417109,0.9646479504577871,53.59374999999999,66.875
category of topological spaces,0.9713130575669897,0.9807774952178114,93.59375,96.875
Cauchy integral formula,0.9626595177430233,0.9573172220454417,87.1875,35.0
Cauchy sequence,0.9427227827975373,0.9627438548809519,57.96875,58.59375
center,,,,
center is a normal subgroup,0.9683602087090184,0.9706925326288571,91.71875,83.75
center of a group,0.9399417060117896,0.9636224841156629,51.71875,63.4375
center of an algebra,0.9201248230086784,0.960086574415982,23.125,44.6875
centralizer of a Lie algebra,0.9507739385176822,0.9702826869172998,72.5,82.65625
centralizer of a subset,0.9543586139807484,0.9679860336549703,77.65625,78.125
centroid,,,,
character of a representation,0.966709608248824,0.9727010733674086,90.9375,87.8125
character table,0.8985998643659807,0.9410544714618911,4.53125,2.96875
characteristic,,,,
characteristic function,0.9110712808097527,0.9507398147947688,14.374999999999998,16.5625
characteristic map of open simplex,0.9684999460447759,0.9685005362808256,91.875,79.0625
characteristic of a field,0.941166063532672,0.9550969090899055,54.37499999999999,26.718750000000004
characteristic polynomial,0.9187506185875381,0.9424088165121789,21.40625,3.5937499999999996
characteristic subgroup,0.9228693951117538,0.9529996145558219,26.5625,20.78125
characters,,,,
chart,,,,
charts,,,,
circle group,0.8997920639067984,0.9560219905064418,5.0,30.46875
circular mean value,0.9322844997407806,0.9596580495731856,39.375,42.65625
class,,,,
class function,0.8965523041595503,0.9501487819552721,3.75,14.374999999999998
class functions,0.9029153016459481,0.9515962082469189,7.34375,17.65625
classes,,,,
closed,,,,
closed edge path,0.959566718120091,0.9671020240572726,83.28125,75.3125
closed half-space,0.9623607284787274,0.9694027984888631,86.71875,81.09375
closed subgroup,0.9100803886207256,0.9571494817243629,12.968750000000002,34.375
closure,,,,
comaximal ring ideals,0.9525190062830937,0.9584337371053779,75.78125,38.90625
comeager,,,,
commutative,,,,
commutator subgroup,0.9317990788523247,0.9615231845922101,38.125,52.96875
compact,,,,
compact Lie group,0.9004293470027226,0.9613007501308758,5.625,51.5625
compact linear transformation,0.944429873060423,0.9517284130169169,61.875,18.125
compact support,0.9007836916355826,0.9561722593238341,6.25,31.093749999999996
compact symplectic group,0.9449662744994931,0.9627714863953729,62.81250000000001,58.90625000000001
compactly closed,0.9427235173811483,0.965628445001595,58.12500000000001,70.3125
complemented lattice,0.9399853499169752,0.9485814386177664,52.03124999999999,11.71875
complete,,,,
complete metric space,0.9517360241367872,0.9782008148404944,74.375,95.625
complete reducibility,0.9472580035330102,0.9645926904141011,66.40625,66.40625
complex,,,,
complex absolute value,0.9582603002039288,0.9688228549955529,82.8125,79.84375
complex conjugate,0.9401630536563207,0.9557558344831811,52.5,28.90625
complex conjugates,0.9442554913023276,0.9618396685113958,61.5625,54.84375
complex differentiability,0.9367939978917785,0.9615672745679845,46.71875,53.43750000000001
complex exponential,0.9402574478939884,0.9559489430450495,52.81249999999999,29.843750000000004
complex integral,0.9087899844237339,0.9499615647277616,11.71875,13.750000000000002
complex Lie group,0.9169078680471643,0.9568897173161639,19.84375,33.59375
complex line integral,0.944859571443543,0.953028938229272,62.5,21.09375
complex number,0.8912513774940054,0.9635746362764861,2.65625,63.28125
complex numbers,0.9035727946690106,0.9666238353340537,7.968749999999999,73.75
complex orthogonal group,0.9414607126977775,0.9662271046426139,55.3125,72.8125
complex symplectic group,0.9564054893455214,0.9704403078931063,80.3125,83.28125
complexification of a vector space,0.9490926966711051,0.9661875383187626,69.21875,72.1875
component function,0.9335295650437333,0.9574629577397803,41.5625,35.46875
